u,v,lon,lat,length,N01,N02,N03,N06,N07,N08,N14,N15,N17,N_YP,N_GC,N_MED,N_WAIT,priority,csvi_E,csvi_S_env,csvi_S_contact,csvi_AC_phys,csvi_AC_social,AC_med_dom,AC_tech_dom,AC_mkt_dom,AC_sport_dom,AC_soc_cul_dom
13176186058,64809719,121.4538205,31.214750549999998,27.9775141792684,0.27536231884057966,0.5327086077485138,0.2863810936076465,0.5763298709474347,0.6408228007556628,0.6709847790832081,0.30755322961929504,0.7139390880160882,0.15893555081246666,0.40845388639264707,0.5408162792320399,0.16666666666666666,0.4,0.17090589717417845,0.4983860426440689,0.05871637038334739,0.32687486759984186,0.13351751960598973,0.3642727766990632,0.33833395143025025,0.47192757361067356,0.2641853620844644,0.416025826075393,0.3348372654788167
13176186058,601669728,121.45421999999999,31.2148513,51.240077299731546,0.21739130434782608,0.5629235939156496,0.239309999638522,0.0,0.7307640196041024,0.7468018670924123,0.22988582773153493,0.7753036342084481,0.1286889169935621,0.4174131012150311,0.5564297679422534,0.0,0.0,0.1539098096314305,0.49864158301986533,0.03967534153419968,0.32045758233676197,0.17616722382692968,0.371740742312244,0.25355150718772673,0.49959019134200866,0.2709971757897214,0.43886200232300526,0.35361530494596655
13176186058,13176186062,121.4539235,31.21488565,23.22538155540714,0.20289855072463767,0.5327086077485138,0.24148073922766006,0.5763298709474347,0.6408228007556628,0.6709847790832081,0.26310944066295827,0.7139390880160882,0.10541880896750036,0.40845388639264707,0.5408162792320399,0.16666666666666666,0.4,0.1722219538544735,0.4983860426440689,0.05871637038334739,0.32687486759984186,0.13351751960598973,0.3494632679908009,0.3274849124759919,0.4591764554783435,0.25358065967041815,0.40416276742148405,0.2928672454237836
71043892,4375169522,121.43056695,31.18093485,556.8374392497725,0.0,0.016488784321524588,0.03664122882047265,0.0,0.0634588287542189,0.13145402960895702,0.026557557206159873,0.48636067871682465,0.16726640882500363,0.07787729158333494,0.0066825371119058445,0.0,0.0,0.003446801704102796,0.01929027050225461,0.07293367489452926,0.06754702368883385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4375169522,71043892,121.43056695,31.18093485,556.8374392497725,0.0,0.016488784321524588,0.03664122882047265,0.0,0.0634588287542189,0.13145402960895702,0.026557557206159873,0.48636067871682465,0.16726640882500363,0.07787729158333494,0.0066825371119058445,0.0,0.0,0.003446801704102796,0.01929027050225461,0.07293367489452926,0.06754702368883385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4375169522,845890225,121.4291405,31.1823117,109.54778367681647,0.057971014492753624,0.004266910480512582,0.03564307107805853,0.0,0.17422126736812163,0.19677655528709254,0.024182653477261302,0.4493240828224774,0.19465442990554982,0.07530733578288827,0.007940745989511345,0.16666666666666666,0.4,0.0030237207352584224,0.014010079058637616,0.10206122074801227,0.067622339967147,0.0,0.0,9.740598553634711e-06,4.9271752659259065e-06,3.51654424663946e-06,4.489807187526307e-06,3.576289674828819e-06
4375169522,2697802731,121.43063645000001,31.1828018,245.91839123320244,0.0,0.26022565103534806,0.012348809097988899,0.3339103976497744,0.14626941837075846,0.20097751800190236,0.023203324460059772,0.47234986760115844,0.15520113385003703,0.3077227082072939,0.2744190082876439,0.0,0.0,0.09175223179629467,0.21632040496243174,0.06878521102104933,0.26468560188015144,0.0006378606149125712,0.0,2.542980174895838e-09,3.9500515824539786e-09,3.1520257743184894e-09,3.599419348576553e-09,3.2055781019283353e-09
4250719391,640593631,121.43183975,31.1842664,777.6199976988567,0.0,0.2245567534548678,0.021129465524590225,0.6988773476025602,0.07756668310734081,0.19325353285261207,0.053283697595281246,0.4894159739816837,0.5498971338337058,0.22904021639851865,0.23342887525109382,0.0,0.0,0.05596571980662279,0.18602641275381157,0.045263855418682886,0.1912661082750371,0.016896594151353757,0.0,8.835891784137193e-09,1.3724931349790347e-08,1.0952094285921913e-08,1.2506617300331383e-08,1.1138168316785582e-08
623694020,107521789,121.45644475,31.191683400000002,1152.0639879715084,0.07246376811594203,0.8722744890866732,0.03608700090325294,0.3339103976497744,0.4893175758773301,0.5470908348931448,0.047387321492517044,0.4167169165578887,0.16305392320483134,0.7320899031391218,0.8353832643177924,0.0,0.0,0.5536384429324381,0.7250936511242492,0.05044643896637762,0.5806237685183925,0.09910374294365591,0.014141864883699524,0.0465081917476537,0.058394457344506816,0.041676354238998244,0.05321098604106517,0.10520491355906196
82515933,6316067903,121.4469435,31.210842399999997,14.761252780067446,0.14492753623188406,0.37670491348072915,0.0980380090641128,0.5454306998216347,0.8000264498067775,0.7911477674625745,0.12366569923088844,0.7575082468048876,0.08244311100359221,0.2657978973792474,0.3011903836150581,0.0,0.0,0.09292439021450523,0.3290222540650815,0.05898279060905476,0.20737684387176505,0.20333153529652878,0.08155293057788336,0.13381814960485525,0.16801853470137554,0.1199154900890115,0.2633155213836822,0.23776794397719642
