Id,lon,lat,betweenness_raw,harmonic_raw,pagerank_raw,od_composite,trip_starts,trip_ends,edge_out_w,edge_in_w
70,121.4339447,31.199111940000005,181.15451984515028,88.08333333333323,0.0036057084892654407,0.2964480767407404,8,4,13,9
22,121.44097863902437,31.187790661219534,447.853574772725,101.49999999999991,0.00696993251189367,0.4101888425579096,18,17,24,23
169,121.45263673888887,31.218872067222232,181.52943336664612,85.99999999999989,0.004632297298432819,0.3068149348017018,6,8,10,12
147,121.45591740000002,31.21364593583334,55.63358773598511,85.74999999999989,0.002527248791200492,0.26132813592628357,6,4,8,6
186,121.43793534823534,31.183214078705863,1939.888094908796,110.99999999999993,0.018709765040389223,0.7623891076433926,27,43,42,58
61,121.425705,31.19773865,8.735125180325522,70.95000000000007,0.0012656571295246303,0.1978329634563364,3,2,3,2
38,121.42570500000001,31.192245480000004,41.792951595095786,79.41666666666661,0.0028803907296256212,0.248575849735909,2,4,5,7
48,121.44001010833335,31.19499207000001,152.08153402061572,94.58333333333321,0.005514776764679423,0.3404547726336469,9,10,14,15
149,121.45114698947368,31.214940924210527,184.258645290422,87.16666666666656,0.0039653345214697,0.29987163989663657,8,7,12,11
151,121.444931,31.215591430000007,70.12125381155234,86.41666666666654,0.0040011781145963534,0.287312209954904,4,4,10,10
63,121.4399660923077,31.19704144123079,1374.2252782678697,110.9166666666666,0.01242594224223088,0.6098806079987102,24,22,43,41
46,121.43320082916671,31.194992069999973,887.9101991007285,110.08333333333327,0.007330965611061249,0.4814910778640112,26,12,36,22
134,121.43751528,31.21147156,7.0047568852203925,74.53333333333337,0.0016470081080846497,0.21310571394174846,2,3,2,3
51,121.42120362777779,31.195907596666675,287.46749448863505,88.4999999999999,0.0052446041935651,0.33326134039260735,8,6,12,10
76,121.44355769999999,31.20048523000001,27.805075472464715,85.66666666666659,0.0026021559577693097,0.2595544388351048,5,6,6,7
121,121.44075625400002,31.207598876,1498.5475877676888,107.58333333333326,0.013174103385772342,0.6246840094789381,12,23,27,38
87,121.44218440000003,31.201858519999988,92.2067930185471,89.99999999999991,0.004470840780338484,0.3062704667102702,3,7,9,13
20,121.42942726578947,31.188125610000018,537.8604104883374,96.91666666666654,0.008384825384654088,0.4286336718779693,13,18,20,25
153,121.43572999,31.21559143,74.40700629836344,80.33333333333329,0.002196646918946507,0.24361787561891549,5,3,7,5
0,121.44110545714288,31.180670602857152,45.55641416152795,88.2499999999999,0.002355678032450723,0.26435072481150484,8,4,10,6
179,121.43583042537311,31.19499206999995,1374.4712327866646,111.16666666666659,0.013705876481390244,0.6303673989275898,23,30,37,44
