u,v,lon,lat,length,N01,N02,N03,N06,N07,N08,N14,N15,N17,N_YP,N_GC,N_MED,N_WAIT,priority,csvi_E,csvi_S_env,csvi_S_contact,csvi_AC_phys,csvi_AC_social
82515934,82515933,121.44720029999999,31.2109432,67.68338439190906,0.16666666666666666,0.338947456276144,0.1351846465855718,0.6302438061395716,0.7624568268305643,0.7889489743796981,0.1642419544457498,0.7922631772074679,0.06011562454516819,0.2804279075439176,0.12329643233107972,0.0,0.0,0.07561268347220934,0.29071663231510597,0.03929930189460703,0.2073230441818076,0.24771303786126098,0.18819980881740805
82515934,6316067904,121.4474312,31.21096975,26.187050784659675,0.16666666666666666,0.338947456276144,0.13590600536435868,0.6302438061395716,0.8086330668080736,0.8041212715806811,0.16246986138038474,0.7945749293036126,0.06342527560680876,0.2804279075439176,0.12329643233107972,0.0,0.0,0.08632919390648656,0.29071663231510597,0.04603093103649068,0.21740741007026199,0.154066038323567,0.17350735341796403
82515934,601675009,121.447361,31.21070345,83.33426348856511,0.16666666666666666,0.338947456276144,0.1351846465855718,0.5421972164643175,0.7624568268305643,0.7889489743796981,0.15882951349921695,0.7922631772074679,0.06011562454516819,0.2804279075439176,0.12329643233107972,0.0,0.0,0.07561268347220934,0.29071663231510597,0.03929930189460703,0.2073230441818076,0.24771303786126098,0.18819980881740805
82515934,267671967,121.4484274,31.2116407,215.22735133467933,0.23333333333333334,0.4680402154871726,0.1805258164634655,0.6302438061395716,0.8741728236840637,0.8755759804116716,0.20808703251488375,0.8376038925668088,0.06125866930229243,0.3072394642369821,0.1955000502099329,0.5714285714285714,0.4,0.14208564349824054,0.44798722064213414,0.038790998497344374,0.2299989047470561,0.2209912165547572,0.06252653861198094
82516857,82515933,121.44617545,31.2110976,143.5678904301034,0.0,0.33492475970856017,0.04298955962594749,0.33214885006415956,0.7329977449607749,0.7553308675717134,0.05420703234626237,0.7278042574258405,0.06555837245590451,0.2488033252794169,0.11325102463046383,0.0,0.0,0.08569247078664503,0.2797240387263635,0.056255777179684094,0.19036579694014108,0.17289916848265102,0.0
82516857,87781402,121.44545625,31.21136875,6.112337433950095,0.08888888888888889,0.51782151109112,0.08834083797330936,0.33214885006415956,0.8595360383050401,0.8454405443847851,0.1008725191673767,0.8017894523406218,0.083489992858086,0.2581396667803299,0.20755390076055635,0.2857142857142857,0.4,0.15158715922282823,0.4599552414497548,0.06035191804936574,0.20496505408941104,0.12170032178137236,0.0
82516857,82517936,121.4452148,31.2109296,107.9078738658735,0.05555555555555555,0.51782151109112,0.07199061457381276,0.33214885006415956,0.7893193380520835,0.819598314159714,0.08278182230334666,0.8085311914529697,0.10699569115790394,0.2581396667803299,0.20755390076055635,0.0,0.0,0.11130643473856328,0.42501492979594907,0.036165063443537655,0.18869190504602526,0.26942844217159323,0.06472553933083303
82516857,857586380,121.44547225,31.211931649999997,128.0769776691829,0.08888888888888889,0.42650213886018723,0.07051007828035687,0.33214885006415956,0.8696311642170951,0.7598569217429588,0.08154503963458597,0.7105390178956761,0.11105575093335661,0.24952466882340474,0.1694108575962126,0.2857142857142857,0.4,0.12923735099924638,0.379234966403534,0.05577708731405436,0.21856842750768038,0.09365041007817303,0.0
601675009,82515933,121.44702670000001,31.21059915,62.00790225477898,0.1111111111111111,0.338947456276144,0.11297526033999387,0.5421972164643175,0.7624568268305643,0.7889489743796981,0.13715894596825587,0.7922631772074679,0.06011562454516819,0.2804279075439176,0.12329643233107972,0.0,0.0,0.0796200797460051,0.29071663231510597,0.03929930189460703,0.2073230441818076,0.24771303786126098,0.12546653921160536
601675009,82515934,121.447361,31.21070345,83.33426348856511,0.16666666666666666,0.338947456276144,0.1351846465855718,0.5421972164643175,0.7624568268305643,0.7889489743796981,0.15882951349921695,0.7922631772074679,0.06011562454516819,0.2804279075439176,0.12329643233107972,0.0,0.0,0.07561268347220934,0.29071663231510597,0.03929930189460703,0.2073230441818076,0.24771303786126098,0.18819980881740805
601675009,6316067902,121.44718449999999,31.2104605,22.49041098182087,0.1111111111111111,0.44811051840098093,0.11353694480066648,0.5421972164643175,0.47832676337468844,0.5474008563407683,0.13786918403310205,0.6500603152201904,0.10224073328165903,0.2833638072980755,0.1705152619693406,0.0,0.0,0.13512859313397108,0.38427565204625475,0.06386871208063905,0.2290245069303173,0.07728055598238799,0.11747619456001158
601675009,6316601377,121.44646645,31.210386200000002,138.81330607477568,0.05555555555555555,0.43303246684901275,0.10846629120939694,0.0,0.7505217050024527,0.7824042576741489,0.09785643246110741,0.7635927167190267,0.06149763572175642,0.2836724930473168,0.1594263604333712,0.0,0.0,0.11688066383822793,0.3710552892500227,0.055134212736423265,0.21115336875505036,0.20762442204899567,0.06324634943743372
601675009,4679395123,121.44736085,31.20967375,156.02406632956917,0.1111111111111111,0.44811051840098093,0.0705601810321924,0.5421972164643175,0.6271123960257265,0.6824501238406228,0.09404599250859404,0.7514310123592118,0.06514847396586096,0.2833638072980755,0.1705152619693406,0.0,0.0,0.10834352249834503,0.3764365539221405,0.0419829789618891,0.21172569575194092,0.19862450199087617,0.12534713724637106
6316067904,82515934,121.4474312,31.21096975,26.187050784659675,0.16666666666666666,0.338947456276144,0.13590600536435868,0.6302438061395716,0.8086330668080736,0.8041212715806811,0.16246986138038474,0.7945749293036126,0.06342527560680876,0.2804279075439176,0.12329643233107972,0.0,0.0,0.08632919390648656,0.29071663231510597,0.04603093103649068,0.21740741007026199,0.154066038323567,0.17350735341796403
267671967,82515934,121.4484274,31.2116407,215.22735133467933,0.23333333333333334,0.4680402154871726,0.1805258164634655,0.6302438061395716,0.8741728236840637,0.8755759804116716,0.20808703251488375,0.8376038925668088,0.06125866930229243,0.3072394642369821,0.1955000502099329,0.5714285714285714,0.4,0.14208564349824054,0.44798722064213414,0.038790998497344374,0.2299989047470561,0.2209912165547572,0.06252653861198094
267671967,154073348,121.4496261,31.2129602,171.68817663851087,0.05555555555555555,0.4526302276718956,0.045213116377460436,0.5995953015496991,0.7847052694956428,0.8114547862534484,0.07342909418093208,0.7741893354004155,0.07221964601829818,0.3273847009013438,0.16987238227381193,0.0,0.0,0.13201522279000263,0.3738897899464131,0.053802538311163606,0.24598989259289267,0.22539124482864303,0.06359679856313245
267671967,601681523,121.44943330000001,31.21182235,94.02766818047792,0.2111111111111111,0.449373380728527,0.18105434767157425,0.6302438061395716,0.8572898452654212,0.8442721115989895,0.20795352509490772,0.8023957390635321,0.08791425641164495,0.26701731263192846,0.15959863918377523,0.14285714285714285,0.4,0.12172152093177602,0.3833257424980642,0.05613674920788664,0.21439726724003277,0.08732524627845001,0.1749705068430398
87781402,82516857,121.44545625,31.21136875,6.112337433950095,0.08888888888888889,0.51782151109112,0.08834083797330936,0.33214885006415956,0.8595360383050401,0.8454405443847851,0.1008725191673767,0.8017894523406218,0.083489992858086,0.2581396667803299,0.20755390076055635,0.2857142857142857,0.4,0.15158715922282823,0.4599552414497548,0.06035191804936574,0.20496505408941104,0.12170032178137236,0.0
87781402,6328343885,121.44423945,31.211155050000002,234.58959211652,0.0,0.3215378094437472,0.04552215166284271,0.6671602013621558,0.7943281698576702,0.8072379033626964,0.07593824414656444,0.7690141011995406,0.07629798367852587,0.30273013375660307,0.13761160949648304,0.0,0.0,0.09819625050703157,0.26600754390619125,0.06193888934577079,0.23524081221865956,0.14185298173727973,0.0
87781402,94574925,121.44513685000001,31.21094615,111.51287242494374,0.05555555555555555,0.51782151109112,0.07199061457381276,0.33214885006415956,0.7893193380520835,0.819598314159714,0.08278182230334666,0.8085311914529697,0.2400911863362656,0.2581396667803299,0.20755390076055635,0.0,0.0,0.11130643473856328,0.42501492979594907,0.036165063443537655,0.18869190504602526,0.26942844217159323,0.06472553933083303
