u,v,lon,lat,length,N01,N02,N03,N06,N07,N08,N14,N15,N17,N_YP,N_GC,N_MED,N_WAIT,priority,csvi_E,csvi_S_env,csvi_S_contact,csvi_AC_phys,csvi_AC_social
86784828,86784826,121.47449245,31.1957107,269.72995401464834,0.0,0.5028359360677204,0.03542217223879965,0.5693909781857664,0.40433592105270344,0.46976102505994866,0.06434530031011743,0.6569958588520661,0.09836209843656384,0.3545106690600161,0.21147693757923475,0.0,0.0,0.18968147323726808,0.41477493158889217,0.07913129835756795,0.2890236177256953,0.00023971404877571085,0.0
86784828,86784829,121.47504085,31.194426749999998,34.88844492600097,0.0,0.3441194622950301,0.01321278599322171,0.7942947389201461,0.40433592105270344,0.46976102505994866,0.056500121452558914,0.6569958588520661,0.14272726349601772,0.3193882544047201,0.10853950084007775,0.0,0.0,0.1211233650328348,0.2871971469526254,0.07913129835756795,0.26038919785378695,0.00023971404877571085,0.0
623417146,62901951,121.4701848,31.205936,780.5629067465377,0.0,0.6131263882422774,0.1589703193052036,0.0,0.24555804124139932,0.34906372217302206,0.14963697650118313,0.5448631538841667,0.19808860712363663,0.579670093507912,0.4621012173924284,0.0,0.0,0.3731857939793305,0.5495110772473576,0.06050444461673802,0.4862179227621521,0.008384458099557368,0.0
623417146,601712540,121.46908225,31.20873175,124.33042617526368,0.2777777777777778,0.5320085519388327,0.14043468847574464,0.0,0.18647861081729172,0.28855760593514607,0.1309566127061087,0.49100877929104986,0.20005144886084794,0.5572886164170061,0.372766721981605,0.0,0.0,0.29393750400771945,0.45346600004714815,0.04806074717155317,0.47490672371060044,0.0022199829681174366,0.2575408877649416
623417146,9808129467,121.46913835000001,31.20873885,126.8109430899592,0.2777777777777778,0.5320085519388327,0.14043468847574464,0.0,0.18647861081729172,0.28855760593514607,0.1309566127061087,0.49100877929104986,0.1335037012716671,0.5572886164170061,0.372766721981605,0.0,0.0,0.29393750400771945,0.45346600004714815,0.04806074717155317,0.47490672371060044,0.0022199829681174366,0.2575408877649416
623417146,2716408741,121.46879014999999,31.2095859,73.8152839024288,0.2,0.5320085519388327,0.18809541910992478,0.0,0.17093059957714055,0.29666453946987986,0.1753800228856063,0.5047985292684124,0.2123876671664876,0.5572886164170061,0.372766721981605,0.2857142857142857,0.4,0.31392177260069853,0.489363590643692,0.047945586083280096,0.4710998108880792,0.011847718399584166,0.1122279116822882
62917024,477597199,121.4633793,31.22318415,154.18511011449382,0.16666666666666666,0.5402909729224704,0.1649556622857148,0.5421972164643175,0.5890368367579373,0.6230333049016057,0.18604143973836876,0.640414487810487,0.1541830970183351,0.35599246898073816,0.17344099616145844,0.0,0.0,0.22602399501014875,0.4926306412038219,0.06603250337251199,0.31006054854764015,0.028604766956302145,0.1670167671734888
62917024,2531707894,121.4634772,31.22391215,83.58679968778281,0.0,0.5402909729224704,0.06898834604506225,0.5421972164643175,0.8329720220572409,0.8024737088678905,0.09364292215690725,0.7456906313261408,0.10532901884991487,0.35599246898073816,0.17344099616145844,0.0,0.0,0.19622273319338213,0.4548239504131142,0.05493671767915948,0.29237879805845896,0.05451637795898608,0.0
62917024,479307593,121.46299635,31.22451245,154.73325381812728,0.0,0.20767702397301604,0.07668299950530286,0.5421972164643175,0.26341413800995406,0.3662595855986493,0.09968599793816048,0.6213222026441041,0.08809128111048287,0.28629434886495797,0.046138259127966555,0.0,0.0,0.05601595940642244,0.1716754470748176,0.036563886091746774,0.2261129532629077,0.11277529130811031,0.0
62917024,109426242,121.46093575,31.223503200000003,408.75916890015554,0.05555555555555555,0.443455174726489,0.046778959799484314,0.34206889744349034,0.8329720220572409,0.8024737088678905,0.059669973438619586,0.7456906313261408,0.10532901884991487,0.3571135487703753,0.16918457782664728,0.0,0.0,0.1571641292043563,0.3673157487868397,0.05493671767915948,0.29329954776521605,0.05451637795898608,0.05278787029425525
477597199,62917024,121.4633793,31.22318415,154.18511011449382,0.16666666666666666,0.5402909729224704,0.1649556622857148,0.5421972164643175,0.5890368367579373,0.6230333049016057,0.18604143973836876,0.640414487810487,0.1541830970183351,0.35599246898073816,0.17344099616145844,0.0,0.0,0.22602399501014875,0.4926306412038219,0.06603250337251199,0.31006054854764015,0.028604766956302145,0.1670167671734888
477597199,554236879,121.46253605,31.22205615,248.30517761617023,0.2111111111111111,0.506608958978229,0.23158382102244862,0.46900602112328504,0.5890368367579373,0.6230333049016057,0.24655389910047382,0.640414487810487,0.198548262077789,0.35833374535278806,0.19701799109966148,0.14285714285714285,0.4,0.2017011713646487,0.4372470533596853,0.06603250337251199,0.3120997417875923,0.028604766956302145,0.1670167671734888
477597199,2412392616,121.46460125,31.2229217,189.109194087861,0.26666666666666666,0.5314308654616313,0.25379320726802657,0.5421972164643175,0.5890368367579373,0.6230333049016057,0.272723709862213,0.640414487810487,0.198548262077789,0.4214803499217395,0.1946478936384165,0.14285714285714285,0.4,0.27746691942478136,0.5282472704296872,0.06603250337251199,0.36709885709929685,0.028604766956302145,0.22268902289798506
