id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
BV10030493,延安西路虹许路(公交站),交通设施服务;公交车站;公交车站相关,150700,(停运)虹桥机场夜宵巴士;320路;春运23线(原320路);机场守航夜宵线,121.387321,31.194036,,[],[],交通设施,上海市,上海市,长宁区
BV10031451,南辅路西环路(公交站),交通设施服务;公交车站;公交车站相关,150700,196路;闵行12路;闵行15路,121.364768,31.115060,,[],[],交通设施,上海市,上海市,闵行区
BV10024679,北京西路泰兴路(公交站),交通设施服务;公交车站;公交车站相关,150700,112路;112路区间;15路;21路;301路;315路;41路;927路;春运10线(原315路);春运4线(原301路),121.459148,31.231833,,[],[],交通设施,上海市,上海市,静安区
BV09159358,龙腾大道龙文路(公交站),交通设施服务;公交车站;公交车站相关,150700,(停运)DZ416路;浦西滨江1路,121.464818,31.159800,,[],[],交通设施,上海市,上海市,徐汇区
BV10024604,长寿路叶家宅路(公交站),交通设施服务;公交车站;公交车站相关,150700,105路;106路;13路;316路/316路(夜宵线);319路;36路;40路;54路;63路;717路;768路;837路;941路;966路;春运22线(原316路);春运26线(原319路),121.431409,31.236202,,[],[],交通设施,上海市,上海市,普陀区
BV10025318,昌里路长清路(公交站),交通设施服务;公交车站;公交车站相关,150700,1131路;338路;454路;572路;604路;871路;浦东97路;隧道二线;隧道夜宵一线,121.491208,31.173590,,[],[],交通设施,上海市,上海市,浦东新区
BV10025306,交通大学(公交站),交通设施服务;公交车站;公交车站相关,150700,26路;320路;72路;923路;926路;946路;大桥六线;春运23线(原320路),121.436172,31.201216,,[],[],交通设施,上海市,上海市,徐汇区
BV10025395,娄山关路天山路(公交站),交通设施服务;公交车站;公交车站相关,150700,309路;519路;69路;737路;88路,121.404262,31.210386,,[],[],交通设施,上海市,上海市,长宁区
BV10341877,徐家汇(华山路)(公交站),交通设施服务;公交车站;公交车站相关,150700,320路;923路;926路;946路;958路;春运23线(原320路),121.437325,31.197348,,[],[],交通设施,上海市,上海市,徐汇区
BV10025265,江苏路愚园路(公交站),交通设施服务;公交车站;公交车站相关,150700,01路;323路;44路;62路;737路;923路,121.430421,31.221224,,[],[],交通设施,上海市,上海市,长宁区
BV10031678,襄阳北路长乐路(公交站),交通设施服务;公交车站;公交车站相关,150700,94路,121.455421,31.218242,,[],[],交通设施,上海市,上海市,徐汇区
BV10028202,上浦路济阳路(公交站),交通设施服务;公交车站;公交车站相关,150700,583路;755路;761路;873路;955路;955路大站车;973路;986路,121.489540,31.144770,,[],[],交通设施,上海市,上海市,浦东新区
BV10025066,徐浦大桥(公交站),交通设施服务;公交车站;公交车站相关,150700,178路;178路大站车;342路;714路;731路;755路;770路;820路;956路;958路;上奉专线,121.455597,31.128004,,[],[],交通设施,上海市,上海市,徐汇区
BV10029719,田林路柳州路(公交站),交通设施服务;公交车站;公交车站相关,150700,120路;166路;712路;732路;820路;830路;89路;927路;93路;946路;徐闵夜宵专线,121.422122,31.171355,,[],[],交通设施,上海市,上海市,徐汇区
BV10025753,漕宝路龙茗路(公交站),交通设施服务;公交车站;公交车站相关,150700,186路;198路;735路;763路;92路,121.380777,31.157438,,[],[],交通设施,上海市,上海市,闵行区
BV10025644,天山路芙蓉江路(公交站),交通设施服务;公交车站;公交车站相关,150700,1250路(71路支线1);141路;158路;190路;311路;316路/316路(夜宵线);54路;72路;757路;808路;855路;856路;941路;春运22线(原316路),121.393928,31.213505,,[],[],交通设施,上海市,上海市,长宁区
BV10860399,娄山关路(快速公交站),交通设施服务;公交车站;快速公交站,150704,71路;71路区间,121.404110,31.201802,,[],[],交通设施,上海市,上海市,长宁区
BV10860389,定西路(快速公交站),交通设施服务;公交车站;快速公交站,150704,1250路(71路支线1);71路;71路区间,121.422649,31.209548,,[],[],交通设施,上海市,上海市,长宁区
BV10029480,海阳路长清路(公交站),交通设施服务;公交车站;公交车站相关,150700,1012路(环线);174路;782路;981路;浦东37路,121.492152,31.154307,,[],[],交通设施,上海市,上海市,浦东新区
BV10025311,枣阳路杏山路(公交站),交通设施服务;公交车站;公交车站相关,150700,44路;837路;858路;876路;94路,121.405739,31.237900,,[],[],交通设施,上海市,上海市,普陀区
BV10040029,东新桥(公交站),交通设施服务;公交车站;公交车站相关,150700,14路,121.481934,31.232301,,[],[],交通设施,上海市,上海市,黄浦区
BV10025123,真北路金沙江路(公交站),交通设施服务;公交车站;公交车站相关,150700,158路;216路;750路;807路;827路;846路;889路,121.379792,31.231450,,[],[],交通设施,上海市,上海市,普陀区
BV10024937,中山南二路大木桥路(公交站),交通设施服务;公交车站;公交车站相关,150700,111路;327路;41路;456路;45路;572路;734路;933路;大桥六线;隧道一线;隧道一线区间;隧道二线;隧道夜宵一线,121.464219,31.191589,,[],[],交通设施,上海市,上海市,徐汇区
BV10025601,河南南路福佑路(公交站),交通设施服务;公交车站;公交车站相关,150700,306路;66路;66路区间;929路;969路;980路;DZ112线;旅游7线(申城观光1号线);春运7线(原306路),121.487579,31.226641,,[],[],交通设施,上海市,上海市,黄浦区
BV10032848,七莘路黎安路(公交站),交通设施服务;公交车站;公交车站相关,150700,189路;春运14线(原虹桥枢纽4路);春运临2线(原虹桥枢纽4路);虹桥枢纽4路,121.368880,31.124661,,[],[],交通设施,上海市,上海市,闵行区
BV10025602,河南南路复兴东路(公交站),交通设施服务;公交车站;公交车站相关,150700,306路;66路;66路区间;929路;969路;980路;春运7线(原306路),121.489334,31.222733,,[],[],交通设施,上海市,上海市,黄浦区
BV09391938,莘松路莘西路(公交站),交通设施服务;公交车站;公交车站相关,150700,125路;150路;153路;196路;747路;91路;松莘线;莘庄1路;闵虹1线;闵行12路;闵行15路;闵行20路;闵行25路B线;闵行31路;闵行8路,121.373361,31.106323,,[],[],交通设施,上海市,上海市,闵行区
BV10029581,龙华中路东安路(公交站),交通设施服务;公交车站;公交车站相关,150700,50路;734路;818路;徐汇滨江环线;滨江2路,121.456521,31.184800,,[],[],交通设施,上海市,上海市,徐汇区
BV10025997,淞虹路北翟路(公交站),交通设施服务;公交车站;公交车站相关,150700,1205路;121路;190路;808路;836路;876路,121.361351,31.221184,,[],[],交通设施,上海市,上海市,长宁区
BV10340603,真光路梅川路(公交站),交通设施服务;公交车站;公交车站相关,150700,727路;807路;827路;837路;876路;948路;长征1路,121.379860,31.240929,,[],[],交通设施,上海市,上海市,普陀区
BV10025649,延安东路中山东一路(公交站),交通设施服务;公交车站;公交车站相关,150700,311路;316路/316路(夜宵线);320路;春运22线(原316路);春运23线(原320路),121.490913,31.232639,,[],[],交通设施,上海市,上海市,黄浦区
BV11586429,黄陂北路(快速公交站),交通设施服务;公交车站;快速公交站,150704,71路;71路区间,121.473772,31.226363,,[],[],交通设施,上海市,上海市,黄浦区
